Country Name,Id,Indicator Name,Value,Year
Aruba,9,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Aruba,14,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Aruba,53,"External debt stocks, total (DOD, current US$)",n/a,1996
Afghanistan,131,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Afghanistan,136,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Afghanistan,175,"External debt stocks, total (DOD, current US$)",n/a,1996
Angola,253,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",947223887.7,1996
Angola,258,"Debt service on external debt, total (TDS, current US$)",996248887.7,1996
Angola,297,"External debt stocks, total (DOD, current US$)",10545818708,1996
Albania,314,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",10728376.8,1996
Albania,319,"Debt service on external debt, total (TDS, current US$)",21276983.2,1996
Albania,358,"External debt stocks, total (DOD, current US$)",491994448.6,1996
Andorra,375,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Andorra,380,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Andorra,419,"External debt stocks, total (DOD, current US$)",n/a,1996
United Arab Emirates,497,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
United Arab Emirates,502,"Debt service on external debt, total (TDS, current US$)",n/a,1996
United Arab Emirates,541,"External debt stocks, total (DOD, current US$)",n/a,1996
Argentina,558,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",6995043002,1996
Argentina,563,"Debt service on external debt, total (TDS, current US$)",12963794087,1996
Argentina,602,"External debt stocks, total (DOD, current US$)",1.11E+11,1996
Armenia,619,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",39460528.8,1996
Armenia,624,"Debt service on external debt, total (TDS, current US$)",42700034.5,1996
Armenia,663,"External debt stocks, total (DOD, current US$)",520544050.4,1996
American Samoa,680,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
American Samoa,685,"Debt service on external debt, total (TDS, current US$)",n/a,1996
American Samoa,724,"External debt stocks, total (DOD, current US$)",n/a,1996
Antigua and Barbuda,741,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Antigua and Barbuda,746,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Antigua and Barbuda,785,"External debt stocks, total (DOD, current US$)",n/a,1996
Australia,802,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Australia,807,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Australia,846,"External debt stocks, total (DOD, current US$)",n/a,1996
Austria,863,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Austria,868,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Austria,907,"External debt stocks, total (DOD, current US$)",n/a,1996
Azerbaijan,924,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",4323000,1996
Azerbaijan,929,"Debt service on external debt, total (TDS, current US$)",9844069.1,1996
Azerbaijan,968,"External debt stocks, total (DOD, current US$)",438309868.3,1996
Burundi,985,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",21595666.6,1996
Burundi,990,"Debt service on external debt, total (TDS, current US$)",30949896.3,1996
Burundi,1029,"External debt stocks, total (DOD, current US$)",1130746660,1996
Belgium,1046,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Belgium,1051,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Belgium,1090,"External debt stocks, total (DOD, current US$)",n/a,1996
Benin,1107,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",39737118.9,1996
Benin,1112,"Debt service on external debt, total (TDS, current US$)",43896996.3,1996
Benin,1151,"External debt stocks, total (DOD, current US$)",1377472572,1996
Burkina Faso,1168,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",45223980.2,1996
Burkina Faso,1173,"Debt service on external debt, total (TDS, current US$)",48535927.7,1996
Burkina Faso,1212,"External debt stocks, total (DOD, current US$)",1301463551,1996
Bangladesh,1229,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",555815697.6,1996
Bangladesh,1234,"Debt service on external debt, total (TDS, current US$)",654909091.4,1996
Bangladesh,1273,"External debt stocks, total (DOD, current US$)",15169074223,1996
Bulgaria,1290,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",933812614.2,1996
Bulgaria,1295,"Debt service on external debt, total (TDS, current US$)",1273036903,1996
Bulgaria,1334,"External debt stocks, total (DOD, current US$)",10368413942,1996
Bahrain,1351,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Bahrain,1356,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Bahrain,1395,"External debt stocks, total (DOD, current US$)",n/a,1996
"Bahamas, The",1412,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
"Bahamas, The",1417,"Debt service on external debt, total (TDS, current US$)",n/a,1996
"Bahamas, The",1456,"External debt stocks, total (DOD, current US$)",n/a,1996
Bosnia and Herzegovina,1473,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Bosnia and Herzegovina,1478,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Bosnia and Herzegovina,1517,"External debt stocks, total (DOD, current US$)",n/a,1996
Belarus,1534,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",96364614.9,1996
Belarus,1539,"Debt service on external debt, total (TDS, current US$)",155977198.4,1996
Belarus,1578,"External debt stocks, total (DOD, current US$)",1958924253,1996
Belize,1595,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",38427057.9,1996
Belize,1600,"Debt service on external debt, total (TDS, current US$)",40283057.9,1996
Belize,1639,"External debt stocks, total (DOD, current US$)",281542136.1,1996
Bermuda,1656,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Bermuda,1661,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Bermuda,1700,"External debt stocks, total (DOD, current US$)",n/a,1996
Bolivia,1717,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",309995434.8,1996
Bolivia,1722,"Debt service on external debt, total (TDS, current US$)",418851090.4,1996
Bolivia,1761,"External debt stocks, total (DOD, current US$)",5275484514,1996
Brazil,1778,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",12999849485,1996
Brazil,1783,"Debt service on external debt, total (TDS, current US$)",25280051262,1996
Brazil,1822,"External debt stocks, total (DOD, current US$)",1.82E+11,1996
Barbados,1839,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Barbados,1844,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Barbados,1883,"External debt stocks, total (DOD, current US$)",n/a,1996
Brunei Darussalam,1900,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Brunei Darussalam,1905,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Brunei Darussalam,1944,"External debt stocks, total (DOD, current US$)",n/a,1996
Bhutan,1961,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",6914506.6,1996
Bhutan,1966,"Debt service on external debt, total (TDS, current US$)",6921506.6,1996
Bhutan,2005,"External debt stocks, total (DOD, current US$)",113040448.6,1996
Botswana,2022,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",150827997.5,1996
Botswana,2027,"Debt service on external debt, total (TDS, current US$)",151129997.5,1996
Botswana,2066,"External debt stocks, total (DOD, current US$)",626530347.7,1996
Central African Republic,2083,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",5251122.8,1996
Central African Republic,2088,"Debt service on external debt, total (TDS, current US$)",12915696.3,1996
Central African Republic,2127,"External debt stocks, total (DOD, current US$)",932746933.3,1996
Canada,2144,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Canada,2149,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Canada,2188,"External debt stocks, total (DOD, current US$)",n/a,1996
Switzerland,2266,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Switzerland,2271,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Switzerland,2310,"External debt stocks, total (DOD, current US$)",n/a,1996
Channel Islands,2327,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Channel Islands,2332,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Channel Islands,2371,"External debt stocks, total (DOD, current US$)",n/a,1996
Chile,2388,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Chile,2393,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Chile,2432,"External debt stocks, total (DOD, current US$)",n/a,1996
China,2449,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",14892608217,1996
China,2454,"Debt service on external debt, total (TDS, current US$)",15757292217,1996
China,2493,"External debt stocks, total (DOD, current US$)",1.29E+11,1996
Cote d'Ivoire,2510,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",850139582.3,1996
Cote d'Ivoire,2515,"Debt service on external debt, total (TDS, current US$)",1374690277,1996
Cote d'Ivoire,2554,"External debt stocks, total (DOD, current US$)",19523620342,1996
Cameroon,2571,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",458236545.3,1996
Cameroon,2576,"Debt service on external debt, total (TDS, current US$)",509201210.7,1996
Cameroon,2615,"External debt stocks, total (DOD, current US$)",11074529701,1996
"Congo, Dem. Rep.",2632,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",117594.6,1996
"Congo, Dem. Rep.",2637,"Debt service on external debt, total (TDS, current US$)",48414485.6,1996
"Congo, Dem. Rep.",2676,"External debt stocks, total (DOD, current US$)",12819900507,1996
"Congo, Rep.",2693,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",345407241.5,1996
"Congo, Rep.",2698,"Debt service on external debt, total (TDS, current US$)",364281439.3,1996
"Congo, Rep.",2737,"External debt stocks, total (DOD, current US$)",5220897392,1996
Colombia,2754,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",2886643964,1996
Colombia,2759,"Debt service on external debt, total (TDS, current US$)",5426949964,1996
Colombia,2798,"External debt stocks, total (DOD, current US$)",29206623223,1996
Comoros,2815,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",1357383.6,1996
Comoros,2820,"Debt service on external debt, total (TDS, current US$)",1428353.2,1996
Comoros,2859,"External debt stocks, total (DOD, current US$)",220902346.9,1996
Cabo Verde,2876,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",7774308.2,1996
Cabo Verde,2881,"Debt service on external debt, total (TDS, current US$)",8024308.2,1996
Cabo Verde,2920,"External debt stocks, total (DOD, current US$)",202637635.8,1996
Costa Rica,2937,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",523760108.4,1996
Costa Rica,2942,"Debt service on external debt, total (TDS, current US$)",607016558,1996
Costa Rica,2981,"External debt stocks, total (DOD, current US$)",3528323424,1996
Caribbean small states,2998,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Caribbean small states,3003,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Caribbean small states,3042,"External debt stocks, total (DOD, current US$)",n/a,1996
Cuba,3059,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Cuba,3064,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Cuba,3103,"External debt stocks, total (DOD, current US$)",n/a,1996
Curacao,3120,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Curacao,3125,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Curacao,3164,"External debt stocks, total (DOD, current US$)",n/a,1996
Cayman Islands,3181,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Cayman Islands,3186,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Cayman Islands,3225,"External debt stocks, total (DOD, current US$)",n/a,1996
Cyprus,3242,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Cyprus,3247,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Cyprus,3286,"External debt stocks, total (DOD, current US$)",n/a,1996
Czechia,3303,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Czechia,3308,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Czechia,3347,"External debt stocks, total (DOD, current US$)",n/a,1996
Germany,3364,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Germany,3369,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Germany,3408,"External debt stocks, total (DOD, current US$)",n/a,1996
Djibouti,3425,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",11525043.7,1996
Djibouti,3430,"Debt service on external debt, total (TDS, current US$)",11625216.9,1996
Djibouti,3469,"External debt stocks, total (DOD, current US$)",287861627.6,1996
Dominica,3486,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",5282798,1996
Dominica,3491,"Debt service on external debt, total (TDS, current US$)",7028056.5,1996
Dominica,3530,"External debt stocks, total (DOD, current US$)",116474724,1996
Denmark,3547,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Denmark,3552,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Denmark,3591,"External debt stocks, total (DOD, current US$)",n/a,1996
Dominican Republic,3608,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",345545449.3,1996
Dominican Republic,3613,"Debt service on external debt, total (TDS, current US$)",455344323.4,1996
Dominican Republic,3652,"External debt stocks, total (DOD, current US$)",4414764302,1996
Algeria,3669,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",3989434278,1996
Algeria,3674,"Debt service on external debt, total (TDS, current US$)",4213873701,1996
Algeria,3713,"External debt stocks, total (DOD, current US$)",33651326322,1996
Ecuador,4035,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",1254474676,1996
Ecuador,4040,"Debt service on external debt, total (TDS, current US$)",1510707484,1996
Ecuador,4079,"External debt stocks, total (DOD, current US$)",17448118081,1996
"Egypt, Arab Rep.",4096,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",1907916654,1996
"Egypt, Arab Rep.",4101,"Debt service on external debt, total (TDS, current US$)",2328327177,1996
"Egypt, Arab Rep.",4140,"External debt stocks, total (DOD, current US$)",31512670142,1996
Eritrea,4218,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Eritrea,4223,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Eritrea,4262,"External debt stocks, total (DOD, current US$)",44286454.5,1996
Spain,4279,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Spain,4284,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Spain,4323,"External debt stocks, total (DOD, current US$)",n/a,1996
